url,path,path_depth,slug_tokens,action,object,scene,intent_category,notes,lastmod
https://www.krea.ai/nodes/app/enthusiasticadventuroussiberian/andy-s-logo-magic,/nodes/app/enthusiasticadventuroussiberian/andy-s-logo-magic,4,nodes app enthusiasticadventuroussiberian andy s logo magic,,logo,,general-logo,logo related utility.,2025-12-04T01:56:56.416Z
https://www.krea.ai/nodes/app/annehorel/ugly-christmas-portrait-1,/nodes/app/annehorel/ugly-christmas-portrait-1,4,nodes app annehorel ugly christmas portrait 1,,headshot,,general-headshot,headshot related utility.,2025-12-16T20:43:11.680Z
https://www.krea.ai/nodes/app/opulentfaithfulolm/outfittest-1,/nodes/app/opulentfaithfulolm/outfittest-1,4,nodes app opulentfaithfulolm outfittest 1,,,,unknown,,2025-12-09T10:00:43.751Z
https://www.krea.ai/nodes/app/danilovdesigner2/-1,/nodes/app/danilovdesigner2/-1,4,nodes app danilovdesigner2 1,,,,unknown,,2025-12-05T16:37:37.999Z
https://www.krea.ai/nodes/app/PashaKirillov_Ai/,/nodes/app/PashaKirillov_Ai/,3,nodes app pashakirillov ai,,,,unknown,,2025-12-13T19:39:03.597Z
https://www.krea.ai/nodes/app/paiaz/raise-the-flags,/nodes/app/paiaz/raise-the-flags,4,nodes app paiaz raise the flags,,,,unknown,,2025-12-14T12:13:39.964Z
https://www.krea.ai/nodes/app/consummatelovablenumbat/from-sketch-plan-to-render,/nodes/app/consummatelovablenumbat/from-sketch-plan-to-render,4,nodes app consummatelovablenumbat from sketch plan to render,,,,unknown,,2025-12-10T17:42:44.654Z
https://www.krea.ai/nodes/app/terrificstrikingmongoose/befor-and-after,/nodes/app/terrificstrikingmongoose/befor-and-after,4,nodes app terrificstrikingmongoose befor and after,,,,unknown,,2025-12-29T12:50:21.854Z
https://www.krea.ai/nodes/app/soulfulillustriousearwig/weight-1-what,/nodes/app/soulfulillustriousearwig/weight-1-what,4,nodes app soulfulillustriousearwig weight 1 what,,,,unknown,,2025-12-15T02:15:21.536Z
https://www.krea.ai/nodes/app/stainlesslegendarymoorhen/3d-porcelain-christmas-ornament-memories,/nodes/app/stainlesslegendarymoorhen/3d-porcelain-christmas-ornament-memories,4,nodes app stainlesslegendarymoorhen 3d porcelain christmas ornament memories,,,,unknown,,2025-12-16T05:00:52.974Z
https://www.krea.ai/nodes/app/InformDesigns/character-collection-1,/nodes/app/InformDesigns/character-collection-1,4,nodes app informdesigns character collection 1,,,,unknown,,2025-12-16T11:08:00.761Z
https://www.krea.ai/nodes/app/upbeatexhilaratingmarkhor/my-cool-car-app,/nodes/app/upbeatexhilaratingmarkhor/my-cool-car-app,4,nodes app upbeatexhilaratingmarkhor my cool car app,,,,unknown,,2025-12-12T16:10:02.140Z
https://www.krea.ai/nodes/app/thrillingbonnyseahorse/test-2,/nodes/app/thrillingbonnyseahorse/test-2,4,nodes app thrillingbonnyseahorse test 2,,,,unknown,,2025-12-11T23:14:56.761Z
https://www.krea.ai/nodes/app/improvingboundlesspoodle/sydney-app,/nodes/app/improvingboundlesspoodle/sydney-app,4,nodes app improvingboundlesspoodle sydney app,,,,unknown,,2025-12-03T16:50:07.123Z
https://www.krea.ai/nodes/app/pablochaco/comparing-ai-model-outputs,/nodes/app/pablochaco/comparing-ai-model-outputs,4,nodes app pablochaco comparing ai model outputs,,,,unknown,,2025-12-15T22:24:12.850Z
https://www.krea.ai/nodes/app/MARCOM/-2,/nodes/app/MARCOM/-2,4,nodes app marcom 2,,,,unknown,,2025-12-08T14:00:41.902Z
https://www.krea.ai/nodes/app/fashionablesparrow/meme-me,/nodes/app/fashionablesparrow/meme-me,4,nodes app fashionablesparrow meme me,,meme,,general-meme,meme related utility.,2025-12-22T15:14:19.857Z
